var1;var2;var3;var4;var5;var6;var7;var8;var9;var10;var11;var12;var13;var14;var15;var16;var17;var18;var19;var20;var21;var22;var23;Columna1
35;3;San Miguel;Muy buena;Excelente;Muy útil;De 16 a 20 semanas;Se cumplieron;De 16 a 20 semanas;Se cumplieron;;De 16 a 20 semanas;Bastante;;Muy útil;La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Elaboré mis propios videos., Desarrollé sesiones  virtuales  con los estudiantes.;Primer año de bachillerato;8;Muy buena;6;Por la comprensión de cada contenido ya que los alumnos no comprenden muy bien las razones trigonometricas;Dar clases opcionales sobre razones trigonometricas;
24;2;La Unión;Excelente;Excelente;Muy útil;De 16 a 20 semanas;Se cumplieron;De 11 a 15 semanas;Se cumplieron;No tengo ninguna mejora que sugerirles ;De 16 a 20 semanas;Se cumplieron;Ninguna ;Muy útil;La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Utilicé otros videos de Youtube y que no eran de ESMATE.;Primer año de bachillerato;8;Muy buena;6;Algunos estudiantes no comprendían los contenidos, y no querían ver videos de ellos explicados ;Motivar al estudiantado a que sean autodidactas ;
30;6;La Unión;Muy buena;Muy buena;Muy útil;De 16 a 20 semanas;Se cumplieron;De 11 a 15 semanas;Bastante;;De 11 a 15 semanas;Se cumplieron;;Muy útil;La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los estudiantes no trabajaban el CE., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Utilicé otros videos de Youtube y que no eran de ESMATE.;Sexto grado;10;Muy buena;5;Tenian confucion al ordenar los datos y algunis estudiantes no podian ver los videos de internet ;Eso esta dificil porque en otra.situacion quizas los estudiantes vieran tenido mejor aprendizaje;
49;21;San Salvador;Excelente;Excelente;Muy útil;De 16 a 20 semanas;Se cumplieron;De 16 a 20 semanas;Se cumplieron;La verdad estuvoeton excelentes;De 16 a 20 semanas;Se cumplieron;Quizas ,por comentarios de estudiantes ampliaran lis ejemplos;Muy útil;La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Utilicé otros videos de Youtube y que no eran de ESMATE.;Sexto grado;8;Buena;5;Necesitaba más asistencia de mi parte;Que mis estudiantes tengan  acceso de internet ;
41;14;Ahuachapán;Muy buena;Excelente;Muy útil;De 11 a 15 semanas;Bastante;Ninguna semana;Bastante;Eran muy extensos, y muy técnicos. ;De 6 a 10 semanas;Se superaron;Que sean muy creativos. ;Muy útil;La mayoría de los estudiantes no leían el LT., La mayoría de los estudiantes no trabajaban el CE., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Utilicé otros materiales que encontraba en la web u otros libros (para clases y guías)., Utilicé otros videos de Youtube y que no eran de ESMATE.;Quinto grado;10;Muy buena;10;Porque los números fraccionario les resultaron difíciles. ;Iniciar con esa unidad en el primer trimestre;
34;10;La Libertad;Muy buena;Excelente;Muy útil;De 11 a 15 semanas;Bastante;De 6 a 10 semanas;Bastante;;De 6 a 10 semanas;Se cumplieron;;Útil;La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Desarrollé sesiones  virtuales  con los estudiantes.;Octavo grado;8;Muy buena;7;Pocas guías calificadas, sacaron arriba de 5;Video clases más claras y participativas ;
55;17;Santa Ana;Excelente;Excelente;Muy útil;De 16 a 20 semanas;Un poco;De 16 a 20 semanas;Se cumplieron;Incluir test;De 16 a 20 semanas;Bastante;Q no aparesca el tutor;Útil;No tenía dispositivo para darle seguimiento a los estudiantes., La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los estudiantes no leían el LT., La mayoría de los estudiantes no tenían el LT y CE., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos., Me enfermé de covid 19;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Utilicé otros videos de Youtube y que no eran de ESMATE.;Primer año de bachillerato;8;Buena;5;Trigonometria y algebra muy debil;Reforzar noveno grado en trigonometria;
30;1;San Salvador;Muy buena;Excelente;Muy útil;De 16 a 20 semanas;Se cumplieron;Ninguna semana;Bastante;;Ninguna semana;Bastante;;Muy útil;La mayoría de los estudiantes no tenían acceso a internet.;Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Elaboré mis propios videos.;Tercer grado;10;Muy buena;6;Inicio de contenidos ;Retroalimentacion ;
31;8;San Miguel;Regular;Muy buena;Muy útil;De 11 a 15 semanas;Bastante;De 16 a 20 semanas;Se cumplieron;Separar los Sites creando links por asignatura y no es conjunto como aparecen actualmente, además organizar la información de una mejor manera dejando bien definido el apartado para el trabajo del estudiante.;De 16 a 20 semanas;Se cumplieron;"Crear vídeos de ejemplos específicos de cada clase y explicar los pasos a detalle; actualmente los vídeos colgados en los ejemplos omiten mucho procedimiento y si se espera que el estudiante comprenda un tema es importante que pueda visualizar el proceso completo. ";Útil;La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Utilicé otros videos de Youtube y que no eran de ESMATE.;Primer año de bachillerato;8;Muy buena;6;Porque habían muchas demostraciones y son temas complejos para que los estudiantes puedan comprenderlos. ;Crear vídeos explicados a detalle de las demostraciones, incluyendo explicación de las propiedades usadas y porque se usaron de esa manera. También incluir la aplicación de las formulas para que los estudiantes puedan comprender mediante la aplicación los contenidos que involucren demostraciones. ;
51;27;Santa Ana;Muy buena;Muy buena;Útil;De 16 a 20 semanas;Se cumplieron;De 16 a 20 semanas;Se cumplieron;Mas tiempo y explicacion mas larga;De 16 a 20 semanas;Se cumplieron;Tiempo y mas despacio la explicación ;Útil;La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Elaboré mis propios videos., Desarrollé sesiones  virtuales  con los estudiantes.;Noveno grado;Unidad 8 completa ;Muy buena;7;Por la ubicacion de los angulos y las lineas;Dotar de teoria mas clara en la ubicacion de los angulos;
